Time,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,Roll,Pitch,Yaw
0,0.130396,0.222510,10.014135,-0.067099,0.005325,0.021301,1.061163,-0.621778,0.000000
10,0.130396,0.226099,9.971069,-0.063904,0.004260,0.020236,1.150101,-0.678831,0.011639
20,0.133984,0.230884,9.911255,-0.066034,0.000000,0.014911,1.183023,-0.709380,0.020182
30,0.129199,0.234473,9.898096,-0.069229,-0.003195,0.013846,1.196149,-0.720354,0.028077
40,0.126807,0.241650,9.913648,-0.075620,-0.005325,0.011716,1.202614,-0.725413,0.034725
50,0.116040,0.228491,10.033277,-0.084140,-0.005325,0.011716,1.180892,-0.716923,0.041373
60,0.112451,0.230884,10.097876,-0.083075,-0.003195,0.012781,1.161004,-0.706160,0.048658
70,0.116040,0.229687,10.133764,-0.076685,0.000000,0.013846,1.142992,-0.699097,0.056591
80,0.110059,0.226099,10.137354,-0.066034,0.003195,0.014911,1.128017,-0.687395,0.065170
90,0.098096,0.229687,10.053614,-0.046863,0.006390,0.017041,1.127041,-0.668291,0.075006
100,0.100488,0.230884,9.985425,-0.040472,0.006390,0.018106,1.130021,-0.654317,0.085451
110,0.102881,0.235669,9.924414,-0.038342,0.004260,0.018106,1.136782,-0.645423,0.095873
120,0.106470,0.235669,9.853833,-0.045798,-0.004260,0.018106,1.139132,-0.644847,0.106198
130,0.107666,0.239258,9.863403,-0.053253,-0.008521,0.017041,1.138751,-0.647270,0.115864
140,0.113647,0.233276,9.889722,-0.060709,-0.011716,0.017041,1.129890,-0.654604,0.125493
150,0.110059,0.227295,9.937573,-0.064969,-0.012781,0.018106,1.115045,-0.659267,0.135723
160,0.110059,0.220117,10.017725,-0.066034,-0.008521,0.021301,1.095567,-0.660819,0.147832
170,0.093311,0.230884,10.046435,-0.062839,-0.005325,0.023431,1.085264,-0.650848,0.161198
180,0.084937,0.227295,10.023706,-0.057513,-0.004260,0.025562,1.076722,-0.636829,0.175797
190,0.106470,0.247632,9.944751,-0.045798,-0.008521,0.034082,1.087407,-0.639231,0.195232
200,0.131592,0.264380,9.902881,-0.045798,-0.010651,0.036212,1.106871,-0.657040,0.215863
210,0.137573,0.271558,9.864599,-0.048993,-0.010651,0.035147,1.127174,-0.676718,0.235882
220,0.143555,0.272754,9.852636,-0.061774,-0.010651,0.030887,1.139555,-0.697859,0.253458
230,0.151929,0.266772,9.880152,-0.069229,-0.011716,0.029822,1.142925,-0.721915,0.270410
240,0.150732,0.257202,9.907666,-0.074554,-0.011716,0.027692,1.137342,-0.742680,0.286142
250,0.145947,0.257202,9.925611,-0.078815,-0.012781,0.026627,1.129741,-0.759144,0.301252
260,0.151929,0.247632,9.920825,-0.083075,-0.013846,0.025562,1.115356,-0.777905,0.315740
270,0.151929,0.248828,9.924414,-0.086270,-0.015976,0.024496,1.101255,-0.795909,0.329597
280,0.156714,0.250024,9.928003,-0.089465,-0.017041,0.025562,1.087398,-0.815349,0.344055
篜傀',0.161499,0.236865,9.957911,-0.093726,-0.018106,0.025562,1.064963,-0.835843,0.358504
300,0.161499,0.228491,9.972265,-0.093726,-0.017041,0.024496,1.039865,-0.853677,0.372358
310,0.167480,0.218921,9.979444,-0.092661,-0.015976,0.025562,1.012349,-0.872471,0.386838
320,0.171069,0.208154,9.978247,-0.090530,-0.009586,0.027692,0.982643,-0.888145,0.402607
330,0.172266,0.206958,9.978247,-0.089465,-0.006390,0.027692,0.955651,-0.901312,0.418411
340,0.171069,0.198584,9.972265,-0.089465,-0.004260,0.025562,0.926719,-0.911494,0.433017
350,0.178247,0.198584,9.979444,-0.091595,-0.002130,0.023431,0.899369,-0.923431,0.446424
360,0.187817,0.204565,10.035669,-0.095856,-0.003195,0.014911,0.875120,-0.939361,0.454939
370,0.197388,0.206958,10.059595,-0.095856,-0.004260,0.011716,0.854231,-0.959239,0.461615
380,0.202173,0.209351,10.071558,-0.093726,-0.007455,0.007455,0.837626,-0.981305,0.465823
390,0.193799,0.194995,10.072754,-0.088400,-0.012781,0.000000,0.817639,-0.999430,0.465716
400,0.191406,0.190210,10.057202,-0.087335,-0.014911,-0.003195,0.797701,-1.015775,0.463763
410,0.199780,0.190210,10.048828,-0.088400,-0.017041,-0.006390,0.779221,-1.036273,0.459965
420,0.240454,0.199780,10.028491,-0.089465,-0.018106,-0.010651,0.767397,-1.077661,0.453721
430,0.291895,0.218921,9.980639,-0.096921,-0.029822,-0.026627,0.763964,-1.149769,0.438234
440,0.306250,0.212939,9.990210,-0.102246,-0.038342,-0.039407,0.754868,-1.227017,0.415358
450,0.309839,0.218921,10.012939,-0.106506,-0.045798,-0.052188,0.747588,-1.302264,0.385104
460,0.287109,0.196191,10.036865,-0.111832,-0.059644,-0.076685,0.725941,-1.364641,0.340710
470,0.281128,0.185425,10.067968,-0.112897,-0.063904,-0.085205,0.699792,-1.419537,0.291414
480,0.272754,0.186621,10.089502,-0.110767,-0.064969,-0.091595,0.677791,-1.464897,0.238463
490,0.261987,0.193799,10.078735,-0.102246,-0.057513,-0.101181,0.666452,-1.496373,0.180081
500,0.263184,0.212939,10.072754,-0.097986,-0.051123,-0.107571,0.668930,-1.522239,0.118085
510,0.263184,0.233276,10.053614,-0.094791,-0.043668,-0.112897,0.684167,-1.542009,0.053084
520,0.270361,0.270361,10.017725,-0.091595,-0.037277,-0.120352,0.720352,-1.560922,-0.016153
530,0.230884,0.295483,9.979444,-0.096921,-0.023431,-0.137393,0.764868,-1.549719,-0.095071
540,0.215332,0.326587,9.960302,-0.103311,-0.018106,-0.143784,0.819224,-1.528449,-0.177620
550,0.205762,0.345728,9.994995,-0.109702,-0.014911,-0.149109,0.874948,-1.501807,-0.263203
560,0.223706,0.339746,10.041651,-0.118222,-0.013846,-0.155499,0.916886,-1.486234,-0.352446
570,0.245239,0.339746,10.053614,-0.118222,-0.017041,-0.161890,0.954679,-1.485204,-0.445384
580,0.272754,0.337354,10.058398,-0.118222,-0.020236,-0.172540,0.987637,-1.500611,-0.544462
590,0.287109,0.318213,10.036865,-0.121417,-0.026627,-0.205557,1.006285,-1.525630,-0.662533
600,0.246436,0.297876,10.029688,-0.125677,-0.029822,-0.225793,1.010358,-1.527749,-0.792239
610,0.193799,0.258398,10.040454,-0.131003,-0.033017,-0.242834,0.989935,-1.502477,-0.931744
620,0.132788,0.209351,10.114624,-0.142719,-0.039407,-0.265201,0.938185,-1.449146,-1.084124
